,min_x,min_y,max_x,max_y
0,113.0625,-39.3276,113.8625,-38.5276
1,113.0625,-38.5276,113.8625,-37.7276
2,113.0625,-37.7276,113.8625,-36.9276
3,113.0625,-36.9276,113.8625,-36.1276
4,113.0625,-36.1276,113.8625,-35.3276
5,113.0625,-35.3276,113.8625,-34.5276
6,113.0625,-34.5276,113.8625,-33.7276
7,113.0625,-33.7276,113.8625,-32.9276
8,113.0625,-32.9276,113.8625,-32.1276
9,113.0625,-32.1276,113.8625,-31.3276
10,113.0625,-31.3276,113.8625,-30.5276
11,113.0625,-30.5276,113.8625,-29.7276
12,113.0625,-29.7276,113.8625,-28.9276
13,113.0625,-28.9276,113.8625,-28.1276
14,113.0625,-28.1276,113.8625,-27.3276
15,113.0625,-27.3276,113.8625,-26.5276
16,113.0625,-26.5276,113.8625,-25.7276
17,113.0625,-25.7276,113.8625,-24.9276
18,113.0625,-24.9276,113.8625,-24.1276
19,113.0625,-24.1276,113.8625,-23.3276
20,113.0625,-23.3276,113.8625,-22.5276
21,113.0625,-22.5276,113.8625,-21.7276
22,113.0625,-21.7276,113.8625,-20.9276
23,113.0625,-20.9276,113.8625,-20.1276
24,113.0625,-20.1276,113.8625,-19.3276
25,113.0625,-19.3276,113.8625,-18.5276
26,113.0625,-18.5276,113.8625,-17.7276
27,113.0625,-17.7276,113.8625,-16.9276
28,113.0625,-16.9276,113.8625,-16.1276
29,113.0625,-16.1276,113.8625,-15.3276
30,113.0625,-15.3276,113.8625,-14.5276
31,113.0625,-14.5276,113.8625,-13.7276
32,113.0625,-13.7276,113.8625,-12.9276
33,113.0625,-12.9276,113.8625,-12.1276
34,113.0625,-12.1276,113.8625,-11.3276
35,113.0625,-11.3276,113.8625,-10.5276
36,113.0625,-10.5276,113.8625,-9.7276
37,113.8625,-39.3276,114.6625,-38.5276
38,113.8625,-38.5276,114.6625,-37.7276
39,113.8625,-37.7276,114.6625,-36.9276
40,113.8625,-36.9276,114.6625,-36.1276
41,113.8625,-36.1276,114.6625,-35.3276
42,113.8625,-35.3276,114.6625,-34.5276
43,113.8625,-34.5276,114.6625,-33.7276
44,113.8625,-33.7276,114.6625,-32.9276
45,113.8625,-32.9276,114.6625,-32.1276
46,113.8625,-32.1276,114.6625,-31.3276
47,113.8625,-31.3276,114.6625,-30.5276
48,113.8625,-30.5276,114.6625,-29.7276
49,113.8625,-29.7276,114.6625,-28.9276
50,113.8625,-28.9276,114.6625,-28.1276
51,113.8625,-28.1276,114.6625,-27.3276
52,113.8625,-27.3276,114.6625,-26.5276
53,113.8625,-26.5276,114.6625,-25.7276
54,113.8625,-25.7276,114.6625,-24.9276
55,113.8625,-24.9276,114.6625,-24.1276
56,113.8625,-24.1276,114.6625,-23.3276
57,113.8625,-23.3276,114.6625,-22.5276
58,113.8625,-22.5276,114.6625,-21.7276
59,113.8625,-21.7276,114.6625,-20.9276
60,113.8625,-20.9276,114.6625,-20.1276
61,113.8625,-20.1276,114.6625,-19.3276
62,113.8625,-19.3276,114.6625,-18.5276
63,113.8625,-18.5276,114.6625,-17.7276
64,113.8625,-17.7276,114.6625,-16.9276
65,113.8625,-16.9276,114.6625,-16.1276
66,113.8625,-16.1276,114.6625,-15.3276
67,113.8625,-15.3276,114.6625,-14.5276
68,113.8625,-14.5276,114.6625,-13.7276
69,113.8625,-13.7276,114.6625,-12.9276
70,113.8625,-12.9276,114.6625,-12.1276
71,113.8625,-12.1276,114.6625,-11.3276
72,113.8625,-11.3276,114.6625,-10.5276
73,113.8625,-10.5276,114.6625,-9.7276
74,114.6625,-39.3276,115.4625,-38.5276
75,114.6625,-38.5276,115.4625,-37.7276
76,114.6625,-37.7276,115.4625,-36.9276
77,114.6625,-36.9276,115.4625,-36.1276
78,114.6625,-36.1276,115.4625,-35.3276
79,114.6625,-35.3276,115.4625,-34.5276
80,114.6625,-34.5276,115.4625,-33.7276
81,114.6625,-33.7276,115.4625,-32.9276
82,114.6625,-32.9276,115.4625,-32.1276
83,114.6625,-32.1276,115.4625,-31.3276
84,114.6625,-31.3276,115.4625,-30.5276
85,114.6625,-30.5276,115.4625,-29.7276
86,114.6625,-29.7276,115.4625,-28.9276
87,114.6625,-28.9276,115.4625,-28.1276
88,114.6625,-28.1276,115.4625,-27.3276
89,114.6625,-27.3276,115.4625,-26.5276
90,114.6625,-26.5276,115.4625,-25.7276
91,114.6625,-25.7276,115.4625,-24.9276
92,114.6625,-24.9276,115.4625,-24.1276
93,114.6625,-24.1276,115.4625,-23.3276
94,114.6625,-23.3276,115.4625,-22.5276
95,114.6625,-22.5276,115.4625,-21.7276
96,114.6625,-21.7276,115.4625,-20.9276
97,114.6625,-20.9276,115.4625,-20.1276
98,114.6625,-20.1276,115.4625,-19.3276
99,114.6625,-19.3276,115.4625,-18.5276
100,114.6625,-18.5276,115.4625,-17.7276
101,114.6625,-17.7276,115.4625,-16.9276
102,114.6625,-16.9276,115.4625,-16.1276
103,114.6625,-16.1276,115.4625,-15.3276
104,114.6625,-15.3276,115.4625,-14.5276
105,114.6625,-14.5276,115.4625,-13.7276
106,114.6625,-13.7276,115.4625,-12.9276
107,114.6625,-12.9276,115.4625,-12.1276
108,114.6625,-12.1276,115.4625,-11.3276
109,114.6625,-11.3276,115.4625,-10.5276
110,114.6625,-10.5276,115.4625,-9.7276
111,115.4625,-39.3276,116.2625,-38.5276
112,115.4625,-38.5276,116.2625,-37.7276
113,115.4625,-37.7276,116.2625,-36.9276
114,115.4625,-36.9276,116.2625,-36.1276
115,115.4625,-36.1276,116.2625,-35.3276
116,115.4625,-35.3276,116.2625,-34.5276
117,115.4625,-34.5276,116.2625,-33.7276
118,115.4625,-33.7276,116.2625,-32.9276
119,115.4625,-32.9276,116.2625,-32.1276
120,115.4625,-32.1276,116.2625,-31.3276
121,115.4625,-31.3276,116.2625,-30.5276
122,115.4625,-30.5276,116.2625,-29.7276
123,115.4625,-29.7276,116.2625,-28.9276
124,115.4625,-28.9276,116.2625,-28.1276
125,115.4625,-28.1276,116.2625,-27.3276
126,115.4625,-27.3276,116.2625,-26.5276
127,115.4625,-26.5276,116.2625,-25.7276
128,115.4625,-25.7276,116.2625,-24.9276
129,115.4625,-24.9276,116.2625,-24.1276
130,115.4625,-24.1276,116.2625,-23.3276
131,115.4625,-23.3276,116.2625,-22.5276
132,115.4625,-22.5276,116.2625,-21.7276
133,115.4625,-21.7276,116.2625,-20.9276
134,115.4625,-20.9276,116.2625,-20.1276
135,115.4625,-20.1276,116.2625,-19.3276
136,115.4625,-19.3276,116.2625,-18.5276
137,115.4625,-18.5276,116.2625,-17.7276
138,115.4625,-17.7276,116.2625,-16.9276
139,115.4625,-16.9276,116.2625,-16.1276
140,115.4625,-16.1276,116.2625,-15.3276
141,115.4625,-15.3276,116.2625,-14.5276
142,115.4625,-14.5276,116.2625,-13.7276
143,115.4625,-13.7276,116.2625,-12.9276
144,115.4625,-12.9276,116.2625,-12.1276
145,115.4625,-12.1276,116.2625,-11.3276
146,115.4625,-11.3276,116.2625,-10.5276
147,115.4625,-10.5276,116.2625,-9.7276
148,116.2625,-39.3276,117.0625,-38.5276
149,116.2625,-38.5276,117.0625,-37.7276
150,116.2625,-37.7276,117.0625,-36.9276
151,116.2625,-36.9276,117.0625,-36.1276
152,116.2625,-36.1276,117.0625,-35.3276
153,116.2625,-35.3276,117.0625,-34.5276
154,116.2625,-34.5276,117.0625,-33.7276
155,116.2625,-33.7276,117.0625,-32.9276
156,116.2625,-32.9276,117.0625,-32.1276
157,116.2625,-32.1276,117.0625,-31.3276
158,116.2625,-31.3276,117.0625,-30.5276
159,116.2625,-30.5276,117.0625,-29.7276
160,116.2625,-29.7276,117.0625,-28.9276
161,116.2625,-28.9276,117.0625,-28.1276
162,116.2625,-28.1276,117.0625,-27.3276
163,116.2625,-27.3276,117.0625,-26.5276
164,116.2625,-26.5276,117.0625,-25.7276
165,116.2625,-25.7276,117.0625,-24.9276
166,116.2625,-24.9276,117.0625,-24.1276
167,116.2625,-24.1276,117.0625,-23.3276
168,116.2625,-23.3276,117.0625,-22.5276
169,116.2625,-22.5276,117.0625,-21.7276
170,116.2625,-21.7276,117.0625,-20.9276
171,116.2625,-20.9276,117.0625,-20.1276
172,116.2625,-20.1276,117.0625,-19.3276
173,116.2625,-19.3276,117.0625,-18.5276
174,116.2625,-18.5276,117.0625,-17.7276
175,116.2625,-17.7276,117.0625,-16.9276
176,116.2625,-16.9276,117.0625,-16.1276
177,116.2625,-16.1276,117.0625,-15.3276
178,116.2625,-15.3276,117.0625,-14.5276
179,116.2625,-14.5276,117.0625,-13.7276
180,116.2625,-13.7276,117.0625,-12.9276
181,116.2625,-12.9276,117.0625,-12.1276
182,116.2625,-12.1276,117.0625,-11.3276
183,116.2625,-11.3276,117.0625,-10.5276
184,116.2625,-10.5276,117.0625,-9.7276
185,117.0625,-39.3276,117.8625,-38.5276
186,117.0625,-38.5276,117.8625,-37.7276
187,117.0625,-37.7276,117.8625,-36.9276
188,117.0625,-36.9276,117.8625,-36.1276
189,117.0625,-36.1276,117.8625,-35.3276
190,117.0625,-35.3276,117.8625,-34.5276
191,117.0625,-34.5276,117.8625,-33.7276
192,117.0625,-33.7276,117.8625,-32.9276
193,117.0625,-32.9276,117.8625,-32.1276
194,117.0625,-32.1276,117.8625,-31.3276
195,117.0625,-31.3276,117.8625,-30.5276
196,117.0625,-30.5276,117.8625,-29.7276
197,117.0625,-29.7276,117.8625,-28.9276
198,117.0625,-28.9276,117.8625,-28.1276
199,117.0625,-28.1276,117.8625,-27.3276
200,117.0625,-27.3276,117.8625,-26.5276
201,117.0625,-26.5276,117.8625,-25.7276
202,117.0625,-25.7276,117.8625,-24.9276
203,117.0625,-24.9276,117.8625,-24.1276
204,117.0625,-24.1276,117.8625,-23.3276
205,117.0625,-23.3276,117.8625,-22.5276
206,117.0625,-22.5276,117.8625,-21.7276
207,117.0625,-21.7276,117.8625,-20.9276
208,117.0625,-20.9276,117.8625,-20.1276
209,117.0625,-20.1276,117.8625,-19.3276
210,117.0625,-19.3276,117.8625,-18.5276
211,117.0625,-18.5276,117.8625,-17.7276
212,117.0625,-17.7276,117.8625,-16.9276
213,117.0625,-16.9276,117.8625,-16.1276
214,117.0625,-16.1276,117.8625,-15.3276
215,117.0625,-15.3276,117.8625,-14.5276
216,117.0625,-14.5276,117.8625,-13.7276
217,117.0625,-13.7276,117.8625,-12.9276
218,117.0625,-12.9276,117.8625,-12.1276
219,117.0625,-12.1276,117.8625,-11.3276
220,117.0625,-11.3276,117.8625,-10.5276
221,117.0625,-10.5276,117.8625,-9.7276
222,117.8625,-39.3276,118.6625,-38.5276
223,117.8625,-38.5276,118.6625,-37.7276
224,117.8625,-37.7276,118.6625,-36.9276
225,117.8625,-36.9276,118.6625,-36.1276
226,117.8625,-36.1276,118.6625,-35.3276
227,117.8625,-35.3276,118.6625,-34.5276
228,117.8625,-34.5276,118.6625,-33.7276
229,117.8625,-33.7276,118.6625,-32.9276
230,117.8625,-32.9276,118.6625,-32.1276
231,117.8625,-32.1276,118.6625,-31.3276
232,117.8625,-31.3276,118.6625,-30.5276
233,117.8625,-30.5276,118.6625,-29.7276
234,117.8625,-29.7276,118.6625,-28.9276
235,117.8625,-28.9276,118.6625,-28.1276
